City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,reggane,26.7158,0.1714,295.32,19,1,3.87,DZ,1705165081
1,kodinsk,58.6881,99.1844,259.59,94,100,3.37,RU,1705165081
2,pervomaysk,48.0443,30.8507,270.72,96,99,3.85,UA,1705165081
3,ushuaia,-54.8,-68.3,281.96,53,75,11.83,AR,1705164796
4,port-aux-francais,-49.35,70.2167,280.76,93,94,13.47,TF,1705165082
5,grytviken,-54.2811,-36.5092,275.86,83,48,12.29,GS,1705165082
6,invercargill,-46.4,168.35,283.72,94,100,4.02,NZ,1705165082
7,aasiaat,68.7098,-52.8699,263.84,82,100,2.82,GL,1705165083
8,waitangi,-43.9535,-176.5597,290.27,92,3,3.58,NZ,1705165083
9,west island,-12.1568,96.8225,301.14,94,32,5.66,CC,1705165083
10,tiksi,71.6872,128.8694,244.23,97,98,4.08,RU,1705165083
11,acajutla,13.5928,-89.8275,303.11,53,2,3.22,SV,1705165084
12,feni,23.0186,91.41,288.14,75,0,1.69,BD,1705165084
13,papatowai,-46.5619,169.4708,284.92,95,100,2.92,NZ,1705165084
14,vorgashor,67.5833,63.95,246.73,93,98,2.55,RU,1705165084
15,lalmonirhat,25.9124,89.4473,290.04,40,0,2.01,BD,1705165084
16,gunjur,13.2019,-16.7339,308.19,31,0,2.06,GM,1705165085
17,adamstown,-25.066,-130.1015,296.86,77,59,8.48,PN,1705165085
18,primero de mayo,-32.2552,-58.4228,305.27,26,0,4.85,AR,1705165086
19,ribeira grande,38.5167,-28.7,290.37,82,40,5.66,PT,1705165086
20,bethel,41.3712,-73.414,288.26,67,93,0.89,US,1705164789
21,nuuk,64.1835,-51.7216,274.75,59,100,1.9,GL,1705165086
22,tazovsky,67.4667,78.7,232.97,100,76,2.36,RU,1705165086
23,albany,42.6001,-73.9662,284.03,87,89,0.45,US,1705164983
24,georgetown,5.4112,100.3354,301.11,78,20,1.03,MY,1705165087
25,tidjikja,18.5564,-11.4271,303.01,7,82,6.18,MR,1705165087
26,isafjordur,66.0755,-23.124,273.0,87,97,3.61,IS,1705165088
27,puerto natales,-51.7236,-72.4875,289.4,36,75,9.77,CL,1705165088
28,kodiak,57.79,-152.4072,275.88,93,100,6.17,US,1705165089
29,zavodskoy,43.4597,132.2922,258.92,72,100,3.0,RU,1705165089
30,kerikeri,-35.2268,173.9474,290.88,92,24,0.96,NZ,1705164957
31,udachny,66.4167,112.4,244.51,75,100,3.23,RU,1705165089
32,nieuw nickerie,5.95,-56.9833,301.37,63,35,4.14,SR,1705165090
33,hermanus,-34.4187,19.2345,294.16,86,48,3.15,ZA,1705165090
34,iqaluit,63.7506,-68.5145,269.0,80,75,4.12,CA,1705165090
35,prainha,-1.8,-53.48,304.99,53,42,2.14,BR,1705165091
36,djamaa,33.5339,5.9931,286.31,45,27,1.12,DZ,1705165091
37,port elizabeth,-33.918,25.5701,297.09,82,20,4.12,ZA,1705165039
38,sao fidelis,-21.6461,-41.7469,304.12,80,83,1.7,BR,1705165091
39,bredasdorp,-34.5322,20.0403,296.28,69,76,4.88,ZA,1705164921
40,utrik,11.2278,169.8474,299.48,75,100,8.52,MH,1705165092
41,longyearbyen,78.2186,15.6401,259.06,66,75,7.2,SJ,1705165092
42,ust-nera,64.5667,143.2,228.55,97,72,1.55,RU,1705165092
43,remire-montjoly,4.9167,-52.2667,302.17,79,75,6.17,GF,1705165093
44,college,64.8569,-147.8028,247.33,72,0,1.54,US,1705165093
45,mukalla,14.5425,49.1242,296.64,77,44,1.58,YE,1705165093
46,bandon,51.7469,-8.7425,277.92,85,82,1.49,IE,1705165093
47,talnakh,69.4865,88.3972,237.89,91,24,3.2,RU,1705165093
48,whakatane,-37.9585,176.9854,291.77,99,42,1.74,NZ,1705165094
49,al jawf,29.5,38.75,287.31,31,1,0.61,SA,1705165094
50,vila do maio,15.1333,-23.2167,299.59,73,98,6.18,CV,1705165094
51,grand falls-windsor,48.9332,-55.6649,271.21,74,7,1.18,CA,1705165062
52,kashgar,39.4547,75.9797,272.71,47,40,1.0,CN,1705165095
53,kabompo,-13.5927,24.2008,293.33,93,73,1.34,ZM,1705165095
54,richards bay,-28.783,32.0377,298.82,92,21,1.82,ZA,1705164838
55,pisco,-13.7,-76.2167,298.18,69,0,3.6,PE,1705165097
56,piacabucu,-10.4056,-36.4344,303.36,59,4,5.66,BR,1705165098
57,aykhal,66.0,111.5,243.91,97,100,3.44,RU,1705165099
58,frolovo,49.7713,43.6622,248.92,97,7,2.72,RU,1705165099
59,puerto ayora,-0.7393,-90.3518,302.13,90,16,3.13,EC,1705165009
60,wailua homesteads,22.0669,-159.378,290.79,64,40,3.6,US,1705165099
61,san luis de la loma,17.2706,-100.8939,300.19,63,40,1.66,MX,1705165100
62,qaqortoq,60.7167,-46.0333,276.05,99,100,5.01,GL,1705165100
63,tazacorte,28.629,-17.9293,296.01,74,20,6.69,ES,1705165100
64,whitehorse,60.7161,-135.0538,249.83,73,100,1.54,CA,1705165100
65,avarua,-21.2078,-159.775,298.18,78,75,4.63,CK,1705165101
66,tura,25.5198,90.2201,286.82,63,0,1.63,IN,1705165101
67,praia da vitoria,38.7333,-27.0667,290.79,100,75,4.9,PT,1705165102
68,trincomalee,8.5711,81.2335,300.13,72,79,5.24,LK,1705165102
69,carnarvon,-24.8667,113.6333,296.06,81,0,7.75,AU,1705165102
70,muravlenko,63.7898,74.523,234.31,100,54,1.12,RU,1705165102
71,bilibino,68.0546,166.4372,240.82,96,93,0.77,RU,1705165103
72,uporovo,56.3109,66.2693,256.46,95,100,2.78,RU,1705165103
73,kourou,5.1552,-52.6478,302.18,67,45,3.73,GF,1705165103
74,la'ie,21.6477,-157.9253,295.13,68,75,6.74,US,1705165103
75,nahiyat al fuhud,30.9697,46.7228,291.49,34,28,4.69,IQ,1705165103
76,igarka,67.4667,86.5833,243.28,98,100,3.56,RU,1705165104
77,willowmore,-33.2926,23.4895,297.55,58,46,6.74,ZA,1705165105
78,punta del este,-34.9667,-54.95,300.91,67,75,4.12,UY,1705165105
79,rome,34.257,-85.1647,277.57,60,40,3.13,US,1705164662
80,chonchi,-42.6128,-73.8092,287.71,71,88,1.9,CL,1705165106
81,tofol,5.3248,163.0078,300.75,83,100,8.85,FM,1705165106
82,foix,42.8333,1.5833,279.13,71,13,2.89,FR,1705165107
83,eyl,7.9803,49.8164,298.52,84,9,8.35,SO,1705165107
84,yoloten,37.2989,62.3597,287.99,28,39,3.66,TM,1705165107
85,edinburgh of the seven seas,-37.0676,-12.3116,290.41,86,96,8.12,SH,1705165107
86,hawaiian paradise park,19.5933,-154.9731,292.61,84,20,2.57,US,1705165108
87,meiktila,20.8667,95.8667,289.75,58,0,2.12,MM,1705165108
88,ilulissat,69.2167,-51.1,265.23,77,100,2.21,GL,1705165108
89,blackmans bay,-43.0167,147.3167,285.22,69,3,3.08,AU,1705165108
90,changuinola,9.4333,-82.5167,298.68,74,16,2.24,PA,1705165109
91,badger,64.8,-147.5333,247.29,76,20,1.54,US,1705165109
92,okhotsk,59.3833,143.3,240.65,81,4,4.32,RU,1705165109
93,bikenibeu village,1.3673,173.1241,301.13,89,75,2.06,KI,1705165109
94,zhaotong,27.3167,103.7167,279.58,77,0,1.05,CN,1705165109
95,humberto de campos,-2.5983,-43.4611,299.13,82,100,2.8,BR,1705165015
96,barcelos,41.5388,-8.6151,285.23,94,100,2.67,PT,1705165110
97,saipan,15.1355,145.701,299.54,78,20,4.12,MP,1705165110
98,thompson,55.7435,-97.8558,242.24,69,75,4.12,CA,1705165110
99,iskateley,67.6803,53.1512,257.05,95,100,4.02,RU,1705165110
100,port mathurin,-19.6833,63.4167,301.69,77,98,4.58,MU,1705165110
101,anadyr,64.75,177.4833,261.43,92,75,2.0,RU,1705165111
102,cabo san lucas,22.8909,-109.9124,293.99,65,0,0.45,MX,1705165105
103,port douglas,-16.4833,145.4667,298.59,92,100,2.45,AU,1705165112
104,abalak,58.1286,68.5944,258.35,95,100,2.0,RU,1705165112
105,villamontes,-21.25,-63.5,309.12,34,62,0.52,BO,1705165112
106,pacific grove,36.6177,-121.9166,283.39,81,75,1.54,US,1705165113
107,namibe,-15.1961,12.1522,296.97,66,56,6.13,AO,1705165113
108,uturoa,-16.7333,-151.4333,300.56,80,100,7.47,PF,1705165113
109,tanjung pandan,-2.75,107.65,298.04,91,100,2.34,ID,1705165113
110,hithadhoo,-0.6,73.0833,300.54,73,83,1.2,MV,1705165114
111,nema,57.5067,50.5011,253.2,97,96,3.42,RU,1705165114
112,petropavlovsk-kamchatsky,53.0452,158.6483,262.29,81,75,2.68,RU,1705165114
113,olonkinbyen,70.9221,-8.7187,261.98,94,100,13.96,SJ,1705165114
114,burang,30.25,81.1667,267.95,37,3,0.93,CN,1705165114
115,geraldton,-28.7667,114.6,296.38,83,100,3.6,AU,1705165115
116,horta,38.5333,-28.6333,289.95,86,40,5.66,PT,1705165115
117,flekkefjord,58.2971,6.6607,276.45,78,71,9.29,NO,1705165115
118,kyshtovka,56.555,76.6271,265.56,92,100,6.26,RU,1705165115
119,sao felix do xingu,-6.6447,-51.995,301.01,81,89,1.44,BR,1705164954
120,banda aceh,5.5577,95.3222,299.38,81,95,5.17,ID,1705165115
121,ghanzi,-21.5667,21.7833,301.04,46,84,4.64,BW,1705165116
122,madaoua,14.073,5.96,301.58,9,16,4.36,NE,1705165116
123,queenstown,-31.8976,26.8753,294.45,81,69,5.72,ZA,1705165116
124,linxia chengguanzhen,35.6003,103.2064,271.13,38,2,0.78,CN,1705165116
125,nova sintra,14.8667,-24.7167,294.37,68,95,8.3,CV,1705165116
126,sinabang,2.4803,96.3801,300.22,81,100,1.65,ID,1705165117
127,ancud,-41.8697,-73.8203,287.58,68,45,4.69,CL,1705165117
128,maxcanu,20.5833,-89.9833,302.28,57,65,1.99,MX,1705165117
129,bathurst,-33.4166,149.5806,291.46,86,92,3.23,AU,1705165117
130,kenora,49.8167,-94.4337,249.69,77,100,3.6,CA,1705165118
131,kununurra,-15.7667,128.7333,300.14,94,100,1.03,AU,1705165118
132,kotabumi,-4.8333,104.9,297.5,91,94,1.67,ID,1705165118
133,yellowknife,62.456,-114.3525,234.57,82,0,4.12,CA,1705165118
134,crucecita,-28.95,-58.9833,303.38,60,0,3.37,AR,1705165118
135,mugia,43.1041,-9.2179,286.99,90,100,10.6,ES,1705165119
136,tolanaro,-25.0319,46.9987,300.19,74,20,9.26,MG,1705165119
137,santiago de cao,-7.9589,-79.2392,297.22,78,20,5.14,PE,1705165119
138,dalandzadgad,43.5708,104.425,261.3,68,3,3.16,MN,1705165119
139,playa del ingles,27.7567,-15.5787,299.01,38,99,0.45,ES,1705164970
140,zanjan,36.6736,48.4787,276.37,80,96,9.9,IR,1705165120
